bnumber	PMID
b4551	16738553
b4551	9278503
b4551	16397293
b3028	16511004
b3028	11488591
b3028	2118386
b3028	15613473
b3028	7568050
b3028	17639604
b3028	16630630
b3028	8611590
b3028	17379704
b3028	18304323
b3028	16738553
b3028	9278503
b3028	16397293
b0753	15470461
b0753	15361881
b0753	14727089
b0753	16738553
b0753	9278503
b0753	16397293
b1552	10049393
b1552	19556744
b1552	17455763
b1552	12959196
b1552	14527658
b1552	11917006
b1552	12886937
b1552	18304323
b1552	16738553
b1552	9278503
b1552	16397293
b1552	21873635
b3532	17384304
b3532	12754220
b3532	11260463
b3532	8041620
b3532	11929533
b3532	16738554
b3532	16120447
b3532	15919996
b3532	16738553
b3532	9278503
b3532	16397293
b3532	21873635
b1342	29101379
b1342	12142406
b1342	19402753
b1342	15690043
b1342	16120447
b1342	15919996
b1342	24561554
b1342	16738553
b1342	9278503
b1342	16397293
b1342	21873635
b0761	15455157
b0761	14641908
b0761	12581638
b0761	11259434
b0761	10089372
b0761	10075916
b0761	9721306
b0761	9466267
b0761	11092866
b0761	10206709
b0761	16205910
b0761	13129959
b0761	12583917
b0761	9851041
b0761	10446207
b0761	8931336
b0761	8550508
b0761	12029041
b0761	9044285
b0761	12818201
b0761	12480890
b0761	9210473
b0761	8564363
b0761	18304323
b0761	24561554
b0761	16738553
b0761	9278503
b0761	16397293
b4666	19210615
b4666	18710431
b4666	27510400
b4666	19121005
b4666	16738553
b4666	9278503
b4666	16397293
b1192	16251288
b1192	8112463
b1192	3521530
b1192	3521529
b1192	1729236
b1192	405375
b1192	17384195
b1192	9199454
b1192	4871206
b1192	780345
b1192	18535144
b1192	10428950
b1192	16381862
b1192	18304323
b1192	24561554
b1192	16738553
b1192	9278503
b1192	16397293
b3651	23867454
b3651	9321663
b3651	12427942
b3651	8871555
b3651	12218021
b3651	2549050
b3651	1938888
b3651	2005134
b3651	1544582
b3651	7686882
b3651	11917006
b3651	11763972
b3651	8265370
b3651	24561554
b3651	16738553
b3651	9278503
b3651	16397293
b3651	21873635
b4064	24169576
b4064	6198438
b4064	24214977
b4064	8265357
b4064	15044727
b4064	12627170
b4064	12368244
b4064	17309111
b4064	16120447
b4064	15919996
b4064	11574054
b4064	16738553
b4064	9278503
b4064	16397293
b4064	21873635
b2912	20952389
b2912	15550566
b2912	18519731
b2912	2579060
b2912	16849790
b2912	14727089
b2912	15690043
b2912	16738553
b2912	9278503
b2912	16397293
b2912	21873635
b4139	11006127
b4139	10529408
b4139	9928150
