Genes	Gene products (complexes, polypeptides, and RNAs)	Transcription Units	Pathways of gene	Object ID	Names
G0-16636	RNA0-388	TU00512		G0-16636	3'ETS-<i>leuZ</i> // b4759 // ECK4616
G7686	CPLX0-4	TU0-13901		G7686	aaeA // yhcQ // b3241 // ECK3230
G7685	CPLX0-4	TU0-13901		G7685	aaeB // yhcP // b3240 // ECK3229
G7688	G7688-MONOMER	TU0-8759		G7688	aaeR // yhcS // qseA // b3243 // ECK3232
G7687	G7687-MONOMER	TU0-13901		G7687	aaeX // yhcR // b3242 // ECK3231
EG11679	AAS-MONOMER	TU0-13751		EG11679	aas // b2836 // ECK2832
EG11112	EG11112-MONOMER	TU0-13077	PWY-7801	EG11112	aat // ycaA // b0885 // ECK0876
G6670	CPLX0-7844	TU0-13222		G6670	abgA // ydaJ // b1338 // ECK1334
G6669	CPLX0-7844	TU0-13222		G6669	abgB // ydaI // b1337 // ECK1333
G6671	G6671-MONOMER	TU0-8760		G6671	abgR // b1339 // ECK1335
EG12853	ABGT-MONOMER	TU0-13222		EG12853	abgT // ydaH // b1336 // ECK1332
G7363	G7363-MONOMER	TU0-13692		G7363	abpA // yfjL // b2628 // ECK2624
G7362	G7362-MONOMER	TU0-13692		G7362	abpB // yfjK // b2627 // ECK2623
G6384	G6384-MONOMER	TU0-13031		G6384	abrB // ybgN // b0715 // ECK0704
EG11647	ACETYL-COA-CARBOXYLMULTI-CPLX	TU0-42602 // TU00230	PWY0-881 // FASYN-INITIAL-PWY // PWY0-1264 // PWY-4381	EG11647	accA // b0185 // ECK0184
EG10275	BCCP-MONOMER	TU0-42603 // TU00231		EG10275	accB // fabE // b3255 // ECK3242
EG10276	ACETYL-COA-CARBOXYLMULTI-CPLX	TU0-42603 // TU00231	PWY0-1264	EG10276	accC // fabG // b3256 // ECK3243
EG10217	ACETYL-COA-CARBOXYLMULTI-CPLX	TU00232	PWY0-881 // FASYN-INITIAL-PWY // PWY0-1264 // PWY-4381	EG10217	accD // dedB // usg // b2316 // ECK2310
EG10022	ISOCIT-LYASE	TU00001	GLYCOLYSIS-TCA-GLYOX-BYPASS // TCA-GLYOX-BYPASS // GLYOXYLATE-BYPASS	EG10022	aceA // icl // b4015 // ECK4007
EG10023	MALATE-SYNTHASE	TU00001	GLYCOLYSIS-TCA-GLYOX-BYPASS // TCA-GLYOX-BYPASS // GLYOXYLATE-BYPASS	EG10023	aceB // mas // b4014 // ECK4006
EG10024	PYRUVATEDEH-CPLX	TU0-45254 // TU0-45222 // TU0-6634 // TU00522	GLYCOLYSIS-TCA-GLYOX-BYPASS // PYRUVDEHYD-PWY	EG10024	aceE // b0114 // ECK0113
EG10025	ACEF-DIHYDROLIPOATE	TU0-45254 // TU0-45222 // TU0-6634 // TU00522	GLYCOLYSIS-TCA-GLYOX-BYPASS // PYRUVDEHYD-PWY	EG10025	aceF // b0115 // ECK0114
EG10026	CPLX0-230	TU0-14503 // TU00001		EG10026	aceK // b4016 // ECK4008
EG10027	ACETATEKINA-MONOMER	TU0-8301 // TU00385	ACETATEUTIL-PWY // PWY0-1312 // FERMENTATION-PWY // PWY0-1477 // THREOCAT-PWY // PWY-5437	EG10027	ackA // b2296 // ECK2290
EG11325	CPLX0-7760	TU0-45169 // TU0-14625 // TU795 // TU794	GLYCOLYSIS-TCA-GLYOX-BYPASS // TCA-GLYOX-BYPASS // GLYOXYLATE-BYPASS // TCA	EG11325	acnA // acn // b1276 // ECK1271
EG12316	CPLX0-7761	TU0-14608 // TU796	GLYCOLYSIS-TCA-GLYOX-BYPASS // TCA-GLYOX-BYPASS // GLYOXYLATE-BYPASS // TCA // FERMENTATION-PWY // PWY0-42	EG12316	acnB // yacJ // yacI // b0118 // ECK0117
EG11095	EG11095-MONOMER	TU0-8764	PWY-6012	EG11095	acpH // yajB // b0404 // ECK0398
