Entry	Gene Names (ordered locus)	Entry Name	Gene Ontology IDs	InterPro	Keywords
A5A616	b4599 JW1527.1	MGTS_ECOLI	GO:0005886; GO:0010350; GO:0016021		3D-structure;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Stress response;Transmembrane;Transmembrane helix
O32583	b4407 JW3955	THIS_ECOLI	GO:0000166; GO:0009228; GO:0009229; GO:0018117; GO:0052837; GO:0097163; GO:1902503; GO:1990228	IPR012675;IPR016155;IPR010035;IPR003749;	3D-structure;Nucleotide-binding;Phosphoprotein;Reference proteome;Thiamine biosynthesis;Thioester bond
P00350	b2029 JW2011	6PGD_ECOLI	GO:0004616; GO:0005829; GO:0006098; GO:0009051; GO:0042802; GO:0042803; GO:0046177; GO:0050661; GO:0097216	IPR008927;IPR013328;IPR006114;IPR006113;IPR006115;IPR006184;IPR036291;IPR006183;	3D-structure;Gluconate utilization;NADP;Oxidoreductase;Pentose shunt;Reference proteome
P00363	b4154 JW4115	FRDA_ECOLI	GO:0000104; GO:0005829; GO:0005886; GO:0006113; GO:0006974; GO:0009055; GO:0009061; GO:0016020; GO:0044780; GO:0045284; GO:0050660; GO:0071949; GO:0071973; GO:0102040	IPR003953;IPR036188;IPR003952;IPR037099;IPR015939;IPR005884;IPR030664;IPR011280;IPR027477;IPR014006;	3D-structure;Cell inner membrane;Cell membrane;Direct protein sequencing;Electron transport;FAD;Flavoprotein;Membrane;Nucleotide-binding;Oxidoreductase;Reference proteome;Transport
P00370	b1761 JW1750	DHE4_ECOLI	GO:0004354; GO:0005737; GO:0005829; GO:0006536; GO:0006537; GO:0097216; GO:1990148	IPR046346;IPR006095;IPR033524;IPR006096;IPR006097;IPR014362;IPR036291;IPR033922;	3D-structure;Direct protein sequencing;NADP;Oxidoreductase;Reference proteome
P00393	b1109 JW1095	NDH_ECOLI	GO:0005886; GO:0006116; GO:0008137; GO:0009060; GO:0009061; GO:0019646; GO:0030964; GO:0050660; GO:0055070	IPR036188;IPR023753;IPR045024;	Cell inner membrane;Cell membrane;Direct protein sequencing;Electron transport;FAD;Flavoprotein;Membrane;NAD;Oxidoreductase;Reference proteome;Transport;Ubiquinone
P00448	b3908 JW3879	SODM_ECOLI	GO:0003677; GO:0004784; GO:0005737; GO:0005829; GO:0006801; GO:0006979; GO:0009408; GO:0010447; GO:0016209; GO:0019430; GO:0030145; GO:0046872; GO:0071291	IPR001189;IPR019833;IPR019832;IPR019831;IPR036324;IPR036314;	3D-structure;Direct protein sequencing;Manganese;Metal-binding;Oxidoreductase;Reference proteome
P00452	b2234 JW2228	RIR1_ECOLI	GO:0004748; GO:0005524; GO:0005829; GO:0005971; GO:0006260; GO:0009185; GO:0009263; GO:0009265; GO:0015949; GO:0042802	IPR005144;IPR013346;IPR000788;IPR013509;IPR008926;IPR039718;	3D-structure;Acetylation;Allosteric enzyme;Alternative initiation;ATP-binding;Deoxyribonucleotide synthesis;Direct protein sequencing;Disulfide bond;Nucleotide-binding;Oxidoreductase;Reference proteome
P00490	b3417 JW5689	PHSM_ECOLI	GO:0005737; GO:0005829; GO:0005980; GO:0008184; GO:0030170; GO:0030980; GO:0031220; GO:0102250; GO:0102499	IPR011833;IPR000811;IPR035090;	3D-structure;Acetylation;Allosteric enzyme;Carbohydrate metabolism;Direct protein sequencing;Glycosyltransferase;Pyridoxal phosphate;Reference proteome;Transferase
P00509	b0928 JW0911	AAT_ECOLI	GO:0004069; GO:0004838; GO:0005737; GO:0005829; GO:0008483; GO:0009094; GO:0030170; GO:0033585; GO:0042802	IPR004839;IPR000796;IPR004838;IPR015424;IPR015421;IPR015422;	3D-structure;Aminotransferase;Cytoplasm;Direct protein sequencing;Pyridoxal phosphate;Reference proteome;Transferase
