Site	Left	Right	Strand	Genes of transcription unit	Object ID
TU-8381	1825688	1825625	-	G6939	TU-8381
TU-8382	944931	945557	-	EG11241	TU-8382
TU-8383	2537315	2538483	+	G7261 // G7260	TU-8383
TU-8384	2616068	2617937	+	G7312 // G7311	TU-8384
TU-8385	2638975	2638652	-	G7319 // G7320	TU-8385
TU-8387	3169749	3171833	+	EG12658 // G7575	TU-8387
TU-8388	2962507	2962428	-	EG10825	TU-8388
TU-8389	926479	926443	-	EG10504	TU-8389
TU-8390	926685	926443	-	EG10504	TU-8390
TU-8391	2735961	2736883	+	G7352	TU-8391
TU-8392	3039633	3038822	-	EG10762 // EG10830 // EG11070	TU-8392
TU-8393	3201042	3203129	+	EG10136 // EG12434	TU-8393
TU-8394	3169801	3171833	+	EG12658 // G7575	TU-8394
TU-8396	3296072	3296984	+	G7644	TU-8396
TU-8397	3328853	3328846	-	EG10415	TU-8397
TU-8398	3343396	3347969	+	EG12146 // EG11682 // EG11681 // EG10898 // EG11680	TU-8398
TU-8399	1988200	1988545	+	G7035	TU-8399
TU-8401	2289176	2290180	-	EG12051	TU-8401
TU-8405	1966216	1966191	-	G7027 // G370 // G7028	TU-8405
TU-8407	1144728	1144367	-	EG10859	TU-8407
TU-8408	2013036	2013014	-	EG11346	TU-8408
TU-8411	2013146	2019513	+	G379 // G378 // G377 // EG11656 // EG11654 // EG11347	TU-8411
TU-8412	687896	687747	-	G0-9383 // EG12663 // EG12662 // EG12661 // G6359	TU-8412
TU-8414	3550399	3550070	-	EG10561	TU-8414
TU-8417	3682016	3681940	-	EG12254	TU-8417
TU-8419	3893829	3895218	+	EG11723 // EG11722	TU-8419
TU-8421	4256598	4256466	-	EG10740	TU-8421
TU-8422	576873	578568	+	G6311 // G6310 // G6309	TU-8422
TU-8423	1074134	1074880	+	EG12301	TU-8423
TU-8427	1538687	1537309	-	EG10644 // EG10645	TU-8427
TU-8428	1720998	1724133	+	G6885 // G6884 // G6883	TU-8428
TU-8430	1728353	1733740	+	EG11548	TU-8430
TU-8431	2766707	2767355	+	G7366	TU-8431
TU-8433	3455634	3455398	-	EG11263 // G7701	TU-8433
TU-8434	3836664	3835929	-	EG11685 // EG11686	TU-8434
TU-8435	639002	641318	+	EG11385	TU-8435
TU-8438	1986775	1987428	+	G7033	TU-8438
TU-8439	3043662	3045101	+	G495	TU-8439
TU-8441	4432009	4431983	-	G7866	TU-8441
TU-8443	2856828	2856806	-	EG11287	TU-8443
TU0-0	3497754	3499201	+	EG10188	TU0-0
TU0-1	1147338	1151404	+	EG11318 // EG11317 // EG10277 // EG11437 // EG10890	TU0-1
TU0-1002	1832013	1831982	-	G6940 // G6941 // G6942 // G6943 // G6944	TU0-1002
TU0-1003	1832044	1831982	-	G6940 // G6941 // G6942 // G6943 // G6944	TU0-1003
TU0-1004	1832039	1831982	-	G6940 // G6941 // G6942 // G6943 // G6944	TU0-1004
TU0-1021	191812	192580	+	EG11539	TU0-1021
TU0-1022	2800656	2804461	+	G7401 // G7402 // EG12381 // EG20257	TU0-1022
TU0-1041	4105785	4106387	+	G0-16649 // G7816	TU0-1041
TU0-1061	4042391	4044044	+	EG11297 // EG11831	TU0-1061
TU0-1062	4043377	4044044	+	EG11297	TU0-1062
TU0-1063	3477525	3477419	-	G7716	TU0-1063
TU0-1064	3477499	3477419	-	G7716	TU0-1064
TU0-1106	915352	916047	-	EG13270	TU0-1106
TU0-1122	940878	944896	+	EG10234 // EG10233 // EG10232	TU0-1122
TU0-1123	816914	819747	+	EG11598 // EG11597 // EG11666 // EG11596 // EG11595	TU0-1123
TU0-1141	1157766	1159302	+	EG10787	TU0-1141
TU0-1142	1157626	1159302	+	EG10787	TU0-1142
TU0-1143	2716523	2716449	-	EG11784	TU0-1143
TU0-1161	209679	211820	+	G6094	TU0-1161
TU0-1181	4035239	4040636	+	EG30070 // EG30077 // EG30008 // EG30043 // EG30084	TU0-1181
TU0-1182	4166367	4171962	+	EG30071 // EG30078 // EG30032 // EG30085	TU0-1182
TU0-1183	3941516	3947067	+	EG30072 // EG30079 // EG30033 // EG30086	TU0-1183
TU0-1184	3941633	3947067	+	EG30072 // EG30079 // EG30033 // EG30086	TU0-1184
TU0-1186	4207863	4213209	+	EG30074 // EG30081 // EG30034 // EG30088	TU0-1186
TU0-1187	2731448	2731157	-	EG30075 // EG30082 // EG30035 // EG30089	TU0-1187
TU0-1188	2731332	2731157	-	EG30075 // EG30082 // EG30035 // EG30089	TU0-1188
TU0-1189	223485	228875	+	EG30076 // EG30083 // EG30010 // EG30045 // EG30090	TU0-1189
TU0-1190	223593	228875	+	EG30076 // EG30083 // EG30010 // EG30045 // EG30090	TU0-1190
TU0-1191	3429047	3428762	-	EG30091 // EG30103 // EG30073 // EG30080 // EG30009 // EG30044 // EG30087	TU0-1191
