Pathways	Genes of pathway	Object ID	Common-Name
PWY0-862	EG11528 // EG11318 // EG10274 // EG11284 // EG10273 // EG50003	PWY0-862	(5Z)-dodecenoate biosynthesis I
PWY-7805	EG10724 // EG10721 // EG10717 // EG10716 // EG10718 // EG10722 // EG10719 // EG10725 // EG10723 // EG10051 // EG10755 // EG10727	PWY-7805	(aminomethyl)phosphonate degradation
KDO-LIPASYN-PWY	EG10464 // EG10614 // EG50003	KDO-LIPASYN-PWY	(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>E. coli</i>)
PWY-5901	EG10261 // EG10260 // EG10259	PWY-5901	2,3-dihydroxybenzoate biosynthesis
PWY-5837	EG12437 // EG11532 // EG12362 // EG10579 // EG12438 // EG11368 // G6912	PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis
PWY-7180	EG10220 // EG10221 // G7285 // EG10031 // M014	PWY-7180	2-deoxy-&alpha;-D-ribose 1-phosphate degradation
PWY-5162	M013 // G6205 // G7285 // M014	PWY-5162	2-hydroxypenta-2,4-dienoate degradation
PWY0-42	EG12357 // EG11530 // EG11448 // G6200 // G6198 // G6199 // EG12316 // G6196	PWY0-42	2-methylcitrate cycle I
PWY0-1300	EG13236 // EG11175 // G6283	PWY0-1300	2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation
PWY-5084	EG10979 // EG10980 // EG10543	PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA
PWY-6164	EG10074 // EG10079 // EG10080 // EG10078	PWY-6164	3-dehydroquinate biosynthesis I
PWY0-1277	M012 // M011 // M010 // G7335 // G7334 // G7336 // M015 // M009 // M013 // G6205 // G7285 // M014	PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
HCAMHPDEG-PWY	M012 // M011 // M010 // G7335 // G7334 // G7336 // M015 // M009	HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
PWY-6890	G7135 // EG11585	PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I
PWY-6543	EG10683 // EG10682 // EG11493	PWY-6543	4-aminobenzoate biosynthesis I
PWY-6535	G6646 // G6811 // EG10036	PWY-6535	4-aminobutanoate degradation I
PWY-6537	EG10361 // EG11329	PWY-6537	4-aminobutanoate degradation II
PWY-5755	EG11369	PWY-5755	4-hydroxybenzoate biosynthesis II (bacteria)
