bnumber	rank	strand	begin	end
b0001	1	+	189	255
b0002	2	+	336	2799
b0003	3	+	2800	3733
b0004	4	+	3733	5020
b0005	5	+	5233	5530
b0006	6	-	5682	6459
b0007	7	-	6528	7959
b0008	8	+	8237	9191
b0009	9	+	9305	9893
b0010	10	-	9927	10494
b0011	11	-	10642	11356
b0012	12	+	10829	11315
b0013	13	-	11381	11786
b0014	14	+	12162	14079
b0015	15	+	14167	15298
b0016	16	+	15444	16557
b0018	17	-	16750	16960
b4412	18	-	16750	16903
b0019	19	+	17488	18655
b0020	20	+	18714	19620
b0021	21	-	19810	20314
b0022	22	-	20232	20508
b0023	23	-	20814	21078
b0024	24	+	21180	21399
b0025	25	+	21406	22348
b0026	26	+	22390	25207
b0027	27	+	25206	25701
b0028	28	+	25825	26275
b0029	29	+	26276	27227
b0030	30	+	27292	28207
b0031	31	+	28373	29195
b0032	32	+	29650	30799
b0033	33	+	30816	34038
b0034	34	+	34299	34695
b0035	35	-	34780	35371
b0036	36	-	35376	36162
b0037	37	-	36270	37824
b0038	38	-	37897	39115
b0039	39	-	39243	40386
b0040	40	-	40416	41931
b0041	41	+	42402	43173
b0042	42	+	43187	44129
b0043	43	+	44179	45466
b0044	44	+	45462	45750
b0045	45	+	45806	47138
b0046	46	+	47245	47776
b0047	47	+	47768	49631
b0048	48	+	49822	50302
b0049	49	-	50379	51222
b0050	50	-	51228	51606
b0051	51	-	51608	52430
b0052	52	-	52426	53416
b0053	53	-	53415	54702
b0054	54	-	54754	57109
b0055	55	+	57363	58179
b0056	56	+	58473	59124
b0057	57	+	59120	59279
b0058	58	-	59686	60346
b0059	59	-	60357	63264
b0060	60	-	63428	65780
b0061	61	-	65854	66550
b0062	62	-	66834	68337
b0063	63	-	68347	70048
b0064	64	+	70386	71265
b0065	65	+	71350	72115
b0066	66	-	72228	72927
b0067	67	-	72910	74521
b0068	68	-	74496	75480
b0069	69	-	75643	77299
b4662	70	+	77387	77519
b0070	71	+	77620	78799
b0071	72	-	78847	79453
b0072	73	-	79463	80864
b0073	74	-	80866	81958
b0074	75	-	81957	83529
b0075	76	-	83621	83708
b0076	77	+	84367	85312
b4726	78	-	85466	85511
b0077	79	+	85629	87354
b0078	80	+	87356	87848
b0080	81	+	88027	89032
b0081	82	+	89633	90092
b0082	83	+	90093	91035
b0083	84	+	91031	91397
b0084	85	+	91412	93179
b0085	86	+	93165	94653
b0086	87	+	94649	96008
